chunk_id,filename,file_type,text,career_tags
benefits_sheet_3.xlsx.txt_chunk0,benefits_sheet_3.xlsx.txt,3,"Benefit | Details Wellness Program | ₹500/month for mental health apps Transport Allowance | ₹2,000/month for regular commuters Stock Options | Eligibility after 2 years of service Remote Setup Allowance | One-time ₹10,000 reimbursement",none
hr_policy_5.pdf.txt_chunk0,hr_policy_5.pdf.txt,5,"Remote Work Policy: Employees can work remotely up to 3 days a week upon approval. Leave Policy: Employees are entitled to various types of leaves including casual, sick, and earned leave. Working Hours: The standard working hours are from 9:30 AM to 6:30 PM. Dress Code: Business casual attire is expected on weekdays.",none
legal_terms_3.pdf.txt_chunk0,legal_terms_3.pdf.txt,3,Data Protection: Sensitive data must be encrypted and stored securely. Intellectual Property: All code and deliverables belong to Trinetra.ai Labs. Conflict of Interest: Employees must declare any potential conflicts. NDA Clause: Employees are bound by a Non-Disclosure Agreement.,none
admin_guidelines_4.docx.txt_chunk0,admin_guidelines_4.docx.txt,4,"Admin Guidelines Office Supplies: Stationery can be requested through the admin portal. Maintenance Request: Submit maintenance requests via the Helpdesk. Emergency Protocol: In case of fire or earthquake, follow evacuation procedures. IT Asset Policy: All laptops must be returned before exit formalities.",none
admin_guidelines_2.docx.txt_chunk0,admin_guidelines_2.docx.txt,2,"Admin Guidelines Office Supplies: Stationery can be requested through the admin portal. Security Guidelines: Access cards are mandatory for all premises entries. Maintenance Request: Submit maintenance requests via the Helpdesk. Emergency Protocol: In case of fire or earthquake, follow evacuation procedures.",none
legal_terms_1.pdf.txt_chunk0,legal_terms_1.pdf.txt,1,Termination Clause: Termination may be initiated with 60 days notice. Data Protection: Sensitive data must be encrypted and stored securely. Intellectual Property: All code and deliverables belong to Trinetra.ai Labs. Conflict of Interest: Employees must declare any potential conflicts.,none
it_team_guidelines.pdf.txt_chunk0,it_team_guidelines.pdf.txt,guidelines,"Trinetra.ai Labs - IT Team Guidelines All company devices must have antivirus and VPN installed. Access to GitHub, internal tools, and cloud accounts is granted by IT only.",none
upskilling_policy.pdf.txt_chunk0,upskilling_policy.pdf.txt,policy,"Trinetra.ai Labs - Upskilling Policy Employees can apply for sponsored courses up to INR25,000 per year. Requires manager approval and completion certificate.",training
hr_policy_2.pdf.txt_chunk0,hr_policy_2.pdf.txt,2,"Performance Review: Biannual reviews are conducted to assess performance and determine bonuses. Leave Policy: Employees are entitled to various types of leaves including casual, sick, and earned leave. Working Hours: The standard working hours are from 9:30 AM to 6:30 PM. Dress Code: Business casual attire is expected on weekdays.",performance
admin_guidelines_1.docx.txt_chunk0,admin_guidelines_1.docx.txt,1,Admin Guidelines Office Supplies: Stationery can be requested through the admin portal. IT Asset Policy: All laptops must be returned before exit formalities. Security Guidelines: Access cards are mandatory for all premises entries. Maintenance Request: Submit maintenance requests via the Helpdesk.,none
